カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Alms Beast,1,{2}{W}{B},Alms Beast,,WB,,クリーチャー,ビースト,Creatures blocking or blocked by Alms Beast have lifelink.,6,6,,,,,,,,,,,,Alms Beast,慈善獣,Creatures blocking or blocked by Alms Beast have lifelink.,慈善獣をブロックするか慈善獣にブロックされているクリーチャーは絆魂を持つ。,<i>Alms-coins are only redeemable at Orzhov businesses.</i>,<i>施しのコインを物品と換えられる場所はオルゾフの事業所だけである。</i>,Dan Scott,141,,,,,,,,,,GTC,レア,,
Alpha Authority,1,{1}{G},Alpha Authority,,G,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature has hexproof and can't be blocked by more than one creature.,,,,,,,,,,,,,,Alpha Authority,最上位権限,Enchant creature<br/>Enchanted creature has hexproof and can't be blocked by more than one creature.,エンチャント（クリーチャー）エンチャントされているクリーチャーは呪禁を持つとともに２体以上のクリーチャーによってはブロックされない。,<i>Even the bitterest enemies of the Burning-Tree Clan respect the strength of Borborygmos's rule.</i>,<i>炎樹族の一番の仇敵でさえ、腹音鳴らしの掟の厳しさには一目置いている。</i>,Dave Kendall,114,,,,,,,,,,GTC,アンコモン,,
Angel of Serenity,1,{4}{W}{W}{W},Angel of Serenity,,W,,クリーチャー,天使,"Flying<br/>When Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.<br/>When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.",5,6,,,,,,,,,,,,Angel of Serenity,静穏の天使,"Flying<br/>When Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.<br/>When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.",飛行<br/>静穏の天使が戦場に出たとき、あなたは戦場にある他のクリーチャーかいずれかの墓地にあるクリーチャー・カード、あるいはその両方から最大３つまでを対象とし、それらを追放してもよい。<br/>静穏の天使が戦場を離れたとき、その追放されたカードをオーナーの手札に戻す。,,,Aleksi Briclot,1,,,,,,,,,,RTR,神話レア,,
Angelic Edict,1,{4}{W},Angelic Edict,,W,,ソーサリー,,Exile target creature or enchantment.,,,,,,,,,,,,,,Angelic Edict,天使の布告,Exile target creature or enchantment.,クリーチャー１体かエンチャント１つを対象とし、それを追放する。,<i>The Boros built a prison in the sky where Azorius statutes couldn't restrict their sense of justice.</i>,<i>ボロス軍は自分たちの正義がアゾリウスの法令に縛られることがないよう、天空に牢獄を造った。</i>,Trevor Claxton,2,,,,,,,,,,GTC,コモン,,
Angelic Skirmisher,1,{4}{W}{W},Angelic Skirmisher,,W,,クリーチャー,天使,"Flying<br/>At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.",4,4,,,,,,,,,,,,Angelic Skirmisher,天使の散兵,"Flying<br/>At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.",飛行各戦闘の開始時に、先制攻撃か警戒か絆魂のいずれか１つを選ぶ。あなたがコントロールするクリーチャーは、ターン終了時までその能力を得る。,"<i>""A keen mind wields an army as a deft hand wields a sword.""</i>",<i>「鋭敏な頭脳は、機敏な腕が剣を操るように軍隊を操る。」</i>,David Rapoza,3,,,,,,,,,,GTC,レア,,
Annihilating Fire,1,{1}{R}{R},Annihilating Fire,,R,,インスタント,,"Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.",,,,,,,,,,,,,,Annihilating Fire,滅殺の火,"Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.",クリーチャー１体かプレイヤー１人を対象とする。滅殺の火はそれに３点のダメージを与える。このターン、これによりダメージを与えられたクリーチャーが死亡する場合、代わりにそれを追放する。,"<i>""The most impressive performances can be done only once.""</i><br/></i>?Mote, Rakdos madcap</i>",<i>「最高の離れ業ってのは一度しかできないもんだ。」</i><br/></i>――ラクドスの鉄砲玉、モート</i>,Clint Cearley,85,,,,,,,,,,RTR,コモン,,
Aquus Steed,1,{3}{U},Aquus Steed,,U,,クリーチャー,ビースト,"{2}{U}, {Tap}: Target creature gets -2/-0 until end of turn.",1,3,,,,,,,,,,,,Aquus Steed,水馬,"{2}{U}, {Tap}: Target creature gets -2/-0 until end of turn.","{2}{U}, {Tap}：クリーチャー１体を対象とする。それはターン終了時まで－２/－０の修整を受ける。","<i>In water, it's as graceful as a dolphin. On land, it darts and jerks so unpredictably that few can ride it for long.</i>",<i>水中にあってはイルカのごとく優雅である。しかし地上ではまったく予測不可能な方向へ飛び跳ねるため、長時間乗っていられる者は少ない。</i>,Warren Mahy,29,,,,,,,,,,RTR,アンコモン,,
Archon of the Triumvirate,1,{5}{W}{U},Archon of the Triumvirate,,WU,,クリーチャー,執政官,"Flying<br/>Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. <i>(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)</i>",4,5,,,,,,,,,,,,Archon of the Triumvirate,三巨頭の執政官,"Flying<br/>Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. <i>(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)</i>",飛行<br/>三巨頭の執政官が攻撃するたび、あなたの対戦相手がコントロールする土地でないパーマネントを最大２つまで対象とし、それらを留置する。（あなたの次のターンまで、それらのパーマネントでは攻撃もブロックもできず、それらの起動型能力は起動できない。）,,,David Rapoza,142,,,,,,,,,,RTR,レア,,
Archweaver,1,{5}{G}{G},Archweaver,,G,,クリーチャー,蜘蛛,"Reach, trample",5,5,,,,,,,,,,,,Archweaver,大織り手,"Reach, trample",到達、トランプル,<i>The silk of the archweavers adds structural integrity to otherwise unstable Izzet building sites.</i>,<i>大織り手の吐き出す糸は、もともと不安定だったイゼット団の建物に構造的完全性を与えている。</i>,Jason Felix,114,,,,,,,,,,RTR,アンコモン,,
Armada Wurm,1,{2}{G}{G}{W}{W},Armada Wurm,,GW,,クリーチャー,ワーム,"Trample<br/>When Armada Wurm enters the battlefield, put a 5/5 green Wurm creature token with trample onto the battlefield.",5,5,,,,,,,,,,,,Armada Wurm,大軍のワーム,"Trample<br/>When Armada Wurm enters the battlefield, put a 5/5 green Wurm creature token with trample onto the battlefield.",トランプル<br/>大軍のワームが戦場に出たとき、トランプルを持つ緑の５/５のワーム・クリーチャー・トークンを１体戦場に出す。,<i>No one in the Conclave acts alone.</i>,<i>議事会では誰も単独行動をとらない。</i>,Volkan Baga,143,,,,,,,,,,RTR,神話レア,,
Armed,1,{1}{R},Armed,,R,,ソーサリー,,Target creature gets +1/+1 and gains double strike until end of turn.<br/>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>,,,,,,,,,,,,,,Armed,武装,Target creature gets +1/+1 and gains double strike until end of turn.<br/>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>,クリーチャー１体を対象とする。それはターン終了時まで＋１/＋１の修整を受けるとともに二段攻撃を得る。<br/>融合（あなたはこのカードの片方の半分または両方の半分をあなたの手札から唱えてもよい。）,,,David Palumbo,122,,,,,,,,,,DGM,アンコモン,,
Armored Transport,1,{3},Armored Transport,,Colorless,,アーティファクト クリーチャー,構築物,Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.,2,1,,,,,,,,,,,,Armored Transport,装甲輸送機,Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.,装甲輸送機をブロックしているクリーチャーがこれに与えるすべての戦闘ダメージを軽減する。,"<i>""If only our jails were as secure."" <br/></i><br/></i>?Arrester Lavinia, Tenth Precinct</i>",<i>「うちの牢屋もこのぐらい頑丈ならいいのに。」――第10管区の拘引者、ラヴィニア</i>,Cliff Childs,226,,,,,,,,,,GTC,コモン,,
Armored Wolf-Rider,1,{3}{G}{W},Armored Wolf-Rider,,GW,,クリーチャー,エルフ 騎士,,4,6,,,,,,,,,,,,Armored Wolf-Rider,鎧の狼乗り,,,"<i>Wolf-riders of Selesnya apprentice from a young age. Each rider raises a wolf pup from birth to serve as a mount, hoping that one day the two will share the honor of guarding the Great Concourse.</i>",<i>セレズニアの狼乗りは幼いころから訓練を始める。乗り手は生まれたての狼を１匹選び、乗用として育てあげる。いつの日か共に誉れある中央大広場の警護職につくことを願いつつ。</i>,Matt Stewart,52,,,,,,,,,,DGM,コモン,,
Armory Guard,1,{3}{W},Armory Guard,,W,,クリーチャー,巨人 兵士,Armory Guard has vigilance as long as you control a Gate.,2,5,,,,,,,,,,,,Armory Guard,武器庫の護衛,Armory Guard has vigilance as long as you control a Gate.,武器庫の護衛は、あなたが門をコントロールしているかぎり警戒を持つ。,"<i>The Dimir agents watched from the shadows. ""Eight hours, and I've yet to see him blink,"" Nefara hissed. ""I suggest we find another way in.""</i>",<i>ディミーアの工作員は物陰から様子を窺っていた。「８時間も経つのに、まばたきすらしない」とネファーラが囁いた。「別の入り口を探したほうがよさそうね。」</i>,Karl Kopinski,2,,,,,,,,,,RTR,コモン,,
Arrest,1,{2}{W},Arrest,,W,,エンチャント,オーラ,"Enchant creature<br/>Enchanted creature can't attack or block, and its activated abilities can't be activated.",,,,,,,,,,,,,,Arrest,拘引,"Enchant creature<br/>Enchanted creature can't attack or block, and its activated abilities can't be activated.",エンチャント（クリーチャー）<br/>エンチャントされているクリーチャーでは攻撃もブロックもできず、それの起動型能力は起動できない。,"<i>""We will prove your guilt. We don't arrest the innocent, you know.""</i><br/></i>?Arrester Lavinia, Tenth Precinct</i>",<i>「あんたの罪なら立証してやるわ。うちらが無実の者を拘引するわけないでしょ。」</i><br/></i>――第10管区の拘引者、ラヴィニア</i>,Greg Staples,3,,,,,,,,,,RTR,アンコモン,,
Arrows of Justice,1,{2}{R/W},Arrows of Justice,,WR,,インスタント,,Arrows of Justice deals 4 damage to target attacking or blocking creature.,,,,,,,,,,,,,,Arrows of Justice,正義の矢,Arrows of Justice deals 4 damage to target attacking or blocking creature.,攻撃かブロックしているクリーチャー１体を対象とする。正義の矢はそれに４点のダメージを与える。,<i>Archers from the Horizon Military Academy hone their skills by targeting pickpockets blocks away.</i>,<i>地平線軍事アカデミーの弓兵は、数街区隔てた場所にいるスリを標的にして腕を磨く。</i>,James Ryman,211,,,,,,,,,,GTC,アンコモン,,
Ascended Lawmage,1,{2}{W}{U},Ascended Lawmage,,WU,,クリーチャー,ヴィダルケン ウィザード,"Flying, hexproof",3,2,,,,,,,,,,,,Ascended Lawmage,上昇する法魔道士,"Flying, hexproof",飛行、呪禁,<i>A lawmage's runic script is an act of governance given form: legislation written directly onto the air itself.</i>,<i>法魔道士が綴るルーン文字は具象化した統治といえる。いわば虚空に直接書き込まれた法律だ。</i>,Ryan Yee,53,,,,,,,,,,DGM,アンコモン,,
Ash Zealot,1,{R}{R},Ash Zealot,,R,,クリーチャー,人間 戦士,"First strike, haste<br/>Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player.",2,2,,,,,,,,,,,,Ash Zealot,灰の盲信者,"First strike, haste<br/>Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player.",先制攻撃、速攻<br/>プレイヤー１人が墓地から呪文を１つ唱えるたび、灰の盲信者はそのプレイヤーに３点のダメージを与える。,"<i>""Smarter than death? Let's see you outsmart my mace, necromancer!""</i>",<i>「死よりも賢いって？ 私のメイスでその賢い脳みそを見せてごらん、屍術師！」</i>,Eric Deschamps,86,,,,,,,,,,RTR,レア,,
Assassin's Strike,1,{4}{B}{B},Assassin's Strike,,B,,ソーサリー,,Destroy target creature. Its controller discards a card.,,,,,,,,,,,,,,Assassin's Strike,暗殺者の一撃,Destroy target creature. Its controller discards a card.,クリーチャー１体を対象とし、それを破壊する。それのコントローラーはカードを１枚捨てる。,"<i>When Selesnya missionaries moved into the Shanav Quarter, they faced scorn, ridicule, and ultimately martyrdom.</i>",<i>シャナーヴ街に移り住んだセレズニアの宣教師を待っていたのは軽蔑と嘲笑、そして最終的には殉教であった。</i>,Chase Stone,57,,,,,,,,,,RTR,アンコモン,,
Assault Griffin,1,{3}{W},Assault Griffin,,W,,クリーチャー,グリフィン,Flying,3,2,,,,,,,,,,,,Assault Griffin,突撃するグリフィン,Flying,飛行,"<i>""The Simic offer a prize to any biomancer who can breed a krasis to match a griffin in the air. It's never been claimed."" <br/></i><br/></i>?Libuse, Boros sergeant</i>",<i>「シミック連合はグリフィンに匹敵する飛行能力を持つ混成体を生み出せる生術師に報奨を用意している。これを受け取った者はまだいない。」――ボロスの軍曹、ライブース</i>,Eric Velhagen,4,,,,,,,,,,GTC,コモン,,
Assemble the Legion,1,{3}{R}{W},Assemble the Legion,,WR,,エンチャント,,"At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.",,,,,,,,,,,,,,Assemble the Legion,軍勢の集結,"At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.",あなたのアップキープの開始時に、軍勢の集結の上に召集カウンターを１個置く。その後、軍勢の集結の上に置かれた召集カウンター１個につき、速攻を持つ赤であり白である１/１の兵士・クリーチャー・トークンを１体戦場に出す。,,,Eric Deschamps,142,,,,,,,,,,GTC,レア,,
Auger Spree,1,{1}{B}{R},Auger Spree,,BR,,インスタント,,Target creature gets +4/-4 until end of turn.,,,,,,,,,,,,,,Auger Spree,穴開け三昧,Target creature gets +4/-4 until end of turn.,クリーチャー１体を対象とする。それはターン終了時まで＋４/－４の修整を受ける。,"<i>""Finally, a weapon the Boros can't confiscate!""</i><br/></i>?Juri, proprietor of the Juri Revue</i>",<i>「ついにボロスが没収できない武器ができた！」</i><br/></i>――ジョーリ組の経営者、ジョーリ</i>,Raymond Swanland,144,,,,,,,,,,RTR,コモン,,
"Aurelia, the Warleader",1,{2}{R}{R}{W}{W},"Aurelia, the Warleader",,WR,伝説の,クリーチャー,天使,"Flying, vigilance, haste<br/>Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.",3,4,,,,,,,,,,,,"Aurelia, the Warleader",戦導者オレリア,"Flying, vigilance, haste<br/>Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.",飛行、警戒、速攻戦導者オレリアが各ターン最初に攻撃するたび、あなたがコントロールするすべてのクリーチャーをアンタップする。このフェイズの後に、追加の戦闘フェイズを加える。,"<i>Where Razia was aloof and untouchable, Aurelia is on the frontlines, calling for war.</i>",<i>ラジアは超然として人を寄せつけなかったが、オレリアは前線にあって戦いを呼び掛ける。</i>,Slawomir Maniak,143,,,,,,,,,,GTC,神話レア,,
Aurelia's Fury,1,{X}{R}{W},Aurelia's Fury,,WR,,インスタント,,Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.,,,,,,,,,,,,,,Aurelia's Fury,オレリアの憤怒,Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.,望む数のクリーチャーかプレイヤー（またはその組み合わせ）を対象とする。オレリアの憤怒はそれらに、Ｘ点のダメージをあなたの望むように分割して与える。これによりダメージを与えられた各クリーチャーをそれぞれタップする。これによりダメージを与えられたプレイヤーは、このターン、クリーチャーでない呪文を唱えることができない。,,,Tyler Jacobson,144,,,,,,,,,,GTC,神話レア,,
Avenging Arrow,1,{2}{W},Avenging Arrow,,W,,インスタント,,Destroy target creature that dealt damage this turn.,,,,,,,,,,,,,,Avenging Arrow,報復の矢,Destroy target creature that dealt damage this turn.,このターンにダメージを与えたクリーチャー１体を対象とし、それを破壊する。,"<i>""Forgive the theft. Punish the deception.""</i><br/></i>?Alcarus, Selesnya archer</i>",<i>「盗みは許せ。騙しは罰せ。」</i><br/></i>――セレズニアの射手、アルカウス</i>,James Ryman,4,,,,,,,,,,RTR,コモン,,
Awe for the Guilds,1,{2}{R},Awe for the Guilds,,R,,ソーサリー,,Monocolored creatures can't block this turn.,,,,,,,,,,,,,,Awe for the Guilds,ギルドへの畏敬,Monocolored creatures can't block this turn.,このターン、単色のクリーチャーではブロックできない。,"<i>When the guilds cooperate, the guildless celebrate their peaceful society. When the guilds clash, the guildless just try to keep out of the way.</i>",<i>ギルド同士が協力するとき、無所属の民は平和な社会を謳歌する。ギルド同士が衝突するとき、無所属の民はただただ関わらないようにする。</i>,Mathias Kollros,31,,,,,,,,,,DGM,コモン,,
Axebane Guardian,1,{2}{G},Axebane Guardian,,G,,クリーチャー,人間 ドルイド,"Defender<br/>{Tap}: Add X mana in any combination of colors to your mana pool, where X is the number of creatures with defender you control.",0,3,,,,,,,,,,,,Axebane Guardian,斧折りの守護者,"Defender<br/>{Tap}: Add X mana in any combination of colors to your mana pool, where X is the number of creatures with defender you control.",防衛<br/>{Tap}：あなたのマナ・プールに、好きな色の組み合わせのマナＸ点を加える。Ｘはあなたがコントロールする防衛を持つクリーチャーの総数に等しい。,<i>Only a worthy few are permitted within the sentient forest known as Axebane.</i>,<i>斧折りとして知られる生ける森に足を踏み入れられるのは、一握りの価値ある者だけである。</i>,Slawomir Maniak,115,,,,,,,,,,RTR,コモン,,
Axebane Stag,1,{6}{G},Axebane Stag,,G,,クリーチャー,大鹿,,6,7,,,,,,,,,,,,Axebane Stag,斧折りの雄鹿,,,"<i>""When the spires have burned and the cobblestones are dust, he will take his rightful place as king of the wilds.""</i><br/></i>?Kirce, Axebane guardian</i>",<i>「尖塔が焼け落ち玉石が塵になるとき、彼は野生の王としてあるべき地位につくであろう。」</i><br/></i>――斧折りの守護者、キース</i>,Martina Pilcerova,116,,,,,,,,,,RTR,コモン,,
Azorius Arrester,1,{1}{W},Azorius Arrester,,W,,クリーチャー,人間 兵士,"When Azorius Arrester enters the battlefield, detain target creature an opponent controls. <i>(Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)</i>",2,1,,,,,,,,,,,,Azorius Arrester,アゾリウスの拘引者,"When Azorius Arrester enters the battlefield, detain target creature an opponent controls. <i>(Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)</i>",アゾリウスの拘引者が戦場に出たとき、対戦相手１人がコントロールするクリーチャー１体を対象とし、それを留置する。（あなたの次のターンまで、そのクリーチャーでは攻撃もブロックもできず、それの起動型能力は起動できない。）,"<i>""You have the right to remain silent. Mostly because I tire of your excuses.""</i>",<i>「あなたには黙秘権があります。言い訳をうだうだ聞かされたくないので。」</i>,Wayne Reynolds,5,,,,,,,,,,RTR,コモン,,
