カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト,
"Ajani, Caller of the Pride",1,{1}{W}{W},"Ajani, Caller of the Pride",,W,,プレインズウォーカー,アジャニ,"+1: Put a +1/+1 counter on up to one target creature.<br/>-3: Target creature gains flying and double strike until end of turn.<br/>-8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.",,,4,,,,,,,,,,,"Ajani, Caller of the Pride",群れの統率者アジャニ,"+1: Put a +1/+1 counter on up to one target creature.-3: Target creature gains flying and double strike until end of turn.-8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.",＋１：クリーチャーを最大１体まで対象とし、それの上に＋１/＋１カウンターを１個置く。－３：クリーチャー１体を対象とする。それはターン終了時まで飛行と二段攻撃を得る。－８：白の２/２の猫・クリーチャー・トークンをＸ体戦場に出す。Ｘはあなたのライフの総量に等しい。,,,D. Alexander Gregory,1,,,,,,,,,,M14,神話レア,,,
Ajani's Chosen,1,{2}{W}{W},Ajani's Chosen,,W,,クリーチャー,猫 兵士,"Whenever an enchantment enters the battlefield under your control, put a 2/2 white Cat creature token onto the battlefield. If that enchantment is an Aura, you may attach it to the token.",3,3,,,,,,,,,,,,Ajani's Chosen,アジャニに選ばれし者,"Whenever an enchantment enters the battlefield under your control, put a 2/2 white Cat creature token onto the battlefield. If that enchantment is an Aura, you may attach it to the token.",エンチャントが１つあなたのコントロール下で戦場に出るたび、白の２/２の猫・クリーチャー・トークンを１体戦場に出す。そのエンチャントがオーラである場合、あなたはそれをそのトークンにつけてもよい。,"<i>""United, our roar will level mountains.""</i>",<i>「団結すれば、我らが咆哮は山をも更地にするだろう。」</i>,Wayne Reynolds,2,,,,,,,,,,M14,レア,,,
Altar's Reap,1,{1}{B},Altar's Reap,,B,,インスタント,,"As an additional cost to cast Altar's Reap, sacrifice a creature.<br/>Draw two cards.",,,,,,,,,,,,,,Altar’s Reap,祭壇の刈り取り,"As an additional cost to cast Altar's Reap, sacrifice a creature.<br/>Draw two cards.",祭壇の刈り取りを唱えるための追加コストとして、クリーチャーを１体生け贄に捧げる。<br/>カードを２枚引く。,"<i>""The demons don't care if we mutter niceties and act out ceremonies. Just kill him.""</i><br/></i>?Bishop Volpaig, servant of Griselbrand</i>",<i>「悪魔は我々の語る細かい部分や儀式を気にしておらぬ。 とにかく奴を殺せ。」</i><br/></i>――グリセルブランドの下僕、ヴォルパグ僧正</i>,Donato Giancola,86,,,,,,,,,,ISD,コモン,,,
Altar's Reap,1,{1}{B},Altar's Reap,,B,,インスタント,,"As an additional cost to cast Altar's Reap, sacrifice a creature.<br/>Draw two cards.",,,,,,,,,,,,,,Altar's Reap,祭壇の刈り取り,"As an additional cost to cast Altar's Reap, sacrifice a creature.Draw two cards.",祭壇の刈り取りを唱えるための追加コストとして、クリーチャーを１体生け贄に捧げる。カードを２枚引く。,"<i>""Don't worry, your death will be as informative as possible.""?Gorghul, augur of skulls</i>",<i>「大丈夫、お前の死からなるべく多く学べるようにするからな。」――髑髏の占い師、ゴーガル</i>,Donato Giancola,84,,,,,,,,,,M14,コモン,,,
Angelic Accord,1,{3}{W},Angelic Accord,,W,,エンチャント,,"At the beginning of each end step, if you gained 4 or more life this turn, put a 4/4 white Angel creature token with flying onto the battlefield.",,,,,,,,,,,,,,Angelic Accord,天使の協定,"At the beginning of each end step, if you gained 4 or more life this turn, put a 4/4 white Angel creature token with flying onto the battlefield.",各終了ステップの開始時に、このターンあなたが４点以上のライフを得た場合、飛行を持つ白の４/４の天使・クリーチャー・トークンを１体戦場に出す。,"<i>As demons are drawn to suffering, angels are drawn to acts of benevolence.</i>",<i>悪魔が苦悩を嗅ぎ付けるように、天使は善行に引き寄せられる。</i>,Michael C. Hayes,3,,,,,,,,,,M14,アンコモン,,,
Angelic Wall,1,{1}{W},Angelic Wall,,W,,クリーチャー,壁,Defender <i>(This creature can't attack.)</i><br/>Flying,0,4,,,,,,,,,,,,Angelic Wall,,Flying<br/>Walls can't attack.,,"<i>Be at peace, and observe its beauty. Be at war, and feel its justice.</i>",,Rebecca Guay,,,,,,,,,,,P02,コモン,,,
Angelic Wall,1,{1}{W},Angelic Wall,,W,,クリーチャー,壁,Defender <i>(This creature can't attack.)</i><br/>Flying,0,4,,,,,,,,,,,,Angelic Wall,,<i>(Walls can't attack.)</i><br/>Flying,,"<i>""The Ancestor protects us in ways we can't begin to comprehend.""</i><br/></i>?Mystic elder</i>",,John Avon,3,,,,,,,,,,ODY,コモン,,,
Angelic Wall,1,{1}{W},Angelic Wall,,W,,クリーチャー,壁,Defender <i>(This creature can't attack.)</i><br/>Flying,0,4,,,,,,,,,,,,Angelic Wall,天使の壁,"Defender, flying <i>(This creature can't attack, and it can block creatures with flying.)</i>",防衛、飛行,"""The Ancestor protects us in ways we can't begin to comprehend."" <br/>?Mystic elder",祖神様は我らには理解できないやりかたで我らを守ってくださっている。 <br/>――秘教の古老,John Avon,5,,,,,,,,,,10E,コモン,,,
Angelic Wall,1,{1}{W},Angelic Wall,,W,,クリーチャー,壁,Defender <i>(This creature can't attack.)</i><br/>Flying,0,4,,,,,,,,,,,,Angelic Wall,天使の壁,"Defender, flying",防衛、飛行,"<i>""The air stirred as if fanned by angels' wings, and the enemy was turned aside.""</i><br/></i>?Tales of Ikarov the Voyager</i>",<i>「天使の羽ばたきを受けたかのように空気は流動し、そして敵は退けられた。」</i><br/></i>――航海者イカーロフの物語</i>,Allen Williams,4,,,,,,,,,,AVR,コモン,,,
Angelic Wall,1,{1}{W},Angelic Wall,,W,,クリーチャー,壁,Defender <i>(This creature can't attack.)</i><br/>Flying,0,4,,,,,,,,,,,,Angelic Wall,天使の壁,Defender <i>(This creature can't attack.)</i>Flying,防衛（このクリーチャーでは攻撃できない。）飛行,"<i>""The air stirred as if fanned by angels' wings, and the enemy was turned aside.""?Tales of Ikarov the Voyager</i>",<i>「天使の羽ばたきを受けたかのように空気は流動し、そして敵は退けられた。」――航海者イカーロフの物語</i>,Allen Williams,4,,,,,,,,,,M14,コモン,,,
Archaeomancer,1,{2}{U}{U},Archaeomancer,,U,,クリーチャー,人間 ウィザード,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",1,2,,,,,,,,,,,,Archaeomancer,古術師,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",古術師が戦場に出たとき、あなたの墓地にあるインスタント・カード１枚かソーサリー・カード１枚を対象とし、それをあなたの手札に戻す。,"<i>""Words of power never disappear. They sleep, awaiting those with the will to rouse them.""</i>",<i>「力の言葉は消えない。意志ある者が必要とするときまで眠りにつくのだ。」</i>,Zoltan Boros,41,,,,,,,,,,M13,コモン,,,
Archaeomancer,1,{2}{U}{U},Archaeomancer,,U,,クリーチャー,人間 ウィザード,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",1,2,,,,,,,,,,,,Archaeomancer,古術師,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",古術師が戦場に出たとき、あなたの墓地にあるインスタント・カード１枚かソーサリー・カード１枚を対象とし、それをあなたの手札に戻す。,"<i>""Words of power never disappear. They sleep, awaiting those with the will to rouse them.""</i>",<i>「力の言葉は消えない。意志ある者が必要とするときまで眠りにつくのだ。」</i>,Zoltan Boros,43,,,,,,,,,,M14,コモン,,,
Archaeomancer,1,{2}{U}{U},Archaeomancer,,U,,クリーチャー,人間 ウィザード,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",1,2,,,,,,,,,,,,Archaeomancer,古術師,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",古術師が戦場に出たとき、あなたの墓地にあるインスタント・カード１枚かソーサリー・カード１枚を対象とし、それをあなたの手札に戻す。,"<i>""Words of power never disappear. They sleep, awaiting those with the will to rouse them.""</i>",<i>「力の言葉は消えない。意志ある者が必要とするときまで眠りにつくのだ。」</i>,Zoltan Boros,13,,,,,,,,,,DDM,コモン,,,
Archangel of Thune,1,{3}{W}{W},Archangel of Thune,,W,,クリーチャー,天使,"Flying<br/>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i><br/>Whenever you gain life, put a +1/+1 counter on each creature you control.",3,4,,,,,,,,,,,,Archangel of Thune,テューンの大天使,"FlyingLifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>Whenever you gain life, put a +1/+1 counter on each creature you control.",飛行絆魂（このクリーチャーがダメージを与える場合、さらにあなたはその点数分のライフを得る。）あなたがライフを得るたび、あなたがコントロールする各クリーチャーの上に＋１/＋１カウンターをそれぞれ１個置く。,<i>Even the wicked have nightmares.</i>,<i>邪鬼にも悪夢は訪れる。</i>,James Ryman,5,,,,,,,,,,M14,神話レア,,,
Armored Cancrix,1,{4}{U},Armored Cancrix,,U,,クリーチャー,カニ,,2,5,,,,,,,,,,,,Armored Cancrix,装甲のカンクリックス,,,"<i>Creatures displaced from time still turn up every year, stranded by the temporal disaster that once swept across Dominaria.</i>",<i>かつてドミナリア全土を襲った時間災害に絡めとられ、時から切り離された生き物も、毎年この時期には姿を現す。</i>,Tomasz Jedruszek,44,,,,,,,,,,M11,コモン,,,
Armored Cancrix,1,{4}{U},Armored Cancrix,,U,,クリーチャー,カニ,,2,5,,,,,,,,,,,,Armored Cancrix,装甲のカンクリックス,,,"<i>Creatures displaced from time still turn up every year, stranded by the temporal disaster that once swept across Dominaria.</i>",<i>かつてドミナリア全土を襲った時間災害に絡めとられ、時から切り離された生き物も、毎年この時期には姿を現す。</i>,Tomasz Jedruszek,44,,,,,,,,,,M14,コモン,,,
Artificer's Hex,1,{B},Artificer's Hex,,B,,エンチャント,オーラ,"Enchant Equipment<br/>At the beginning of your upkeep, if enchanted Equipment is attached to a creature, destroy that creature.",,,,,,,,,,,,,,Artificer's Hex,工匠の呪詛,"Enchant EquipmentAt the beginning of your upkeep, if enchanted Equipment is attached to a creature, destroy that creature.",エンチャント（装備品）あなたのアップキープの開始時に、エンチャントされている装備品がクリーチャーにつけられている場合、そのクリーチャーを破壊する。,"<i>""Some treasures aren't worth finding, let alone stealing.""?Dack Fayden</i>",<i>「見つけない方がいい財宝だってある。盗むなどもってのほかだ。」――ダク・フェイデン</i>,Franz Vohwinkel,85,,,,,,,,,,M14,アンコモン,,,
Auramancer,1,{2}{W},Auramancer,,W,,クリーチャー,人間 ウィザード,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",2,2,,,,,,,,,,,,Auramancer,,"When Auramancer comes into play, you may return target enchantment card from your graveyard to your hand.",,<i>Beauty stirs the memory like a sweet perfume excites the air.</i>,,Rebecca Guay,5,,,,,,,,,,ODY,コモン,,,
Auramancer,1,{2}{W},Auramancer,,W,,クリーチャー,人間 ウィザード,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",2,2,,,,,,,,,,,,Auramancer,オーラ術師,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",オーラ術師が戦場に出たとき、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたは、それをあなたの手札に戻してもよい。,"<i>""In memories, we can find our deepest reserves of strength.""</i>",<i>「最も深くに蓄えられている力は、記憶の中にあります。」</i>,Rebecca Guay,9,,,,,,,,,,M12,コモン,,,
Auramancer,1,{2}{W},Auramancer,,W,,クリーチャー,人間 ウィザード,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",2,2,,,,,,,,,,,,Auramancer,オーラ術師,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",オーラ術師が戦場に出たとき、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたは、それをあなたの手札に戻してもよい。,"<i>""In memories, we can find our deepest reserves of strength.""</i>",<i>「最も深くに蓄えられている力は、記憶の中にあります。」</i>,Rebecca Guay,2,,,,,,,,,,PC2,コモン,,,
Auramancer,1,{2}{W},Auramancer,,W,,クリーチャー,人間 ウィザード,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",2,2,,,,,,,,,,,,Auramancer,オーラ術師,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",オーラ術師が戦場に出たとき、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたは、それをあなたの手札に戻してもよい。,"<i>""In memories, we can find our deepest reserves of strength.""</i>",<i>「最も深くに蓄えられている力は、記憶の中にあります。」</i>,Rebecca Guay,6,,,,,,,,,,M14,コモン,,,
Auramancer,1,{2}{W},Auramancer,,W,,クリーチャー,人間 ウィザード,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",2,2,,,,,,,,,,,,Auramancer,オーラ術師,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",オーラ術師が戦場に出たとき、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたは、それをあなたの手札に戻してもよい。,"<i>""In memories, we can find our deepest reserves of strength.""</i>",<i>「最も深くに蓄えられている力は、記憶の中にあります。」</i>,Rebecca Guay,9,,,,,,,,,,DDL,コモン,,,
Awaken the Ancient,1,{1}{R}{R}{R},Awaken the Ancient,,R,,エンチャント,オーラ,Enchant Mountain<br/>Enchanted Mountain is a 7/7 red Giant creature with haste. It's still a land.,,,,,,,,,,,,,,Awaken the Ancient,古きものの目覚め,Enchant MountainEnchanted Mountain is a 7/7 red Giant creature with haste. It's still a land.,エンチャント（山）エンチャントされている山は速攻を持つ赤の７/７の巨人・クリーチャーである。それは土地でもある。,<i>Some days you stand to greet the horizon. Other days the horizon stands to greet you.</i>,<i>君が立ち上がり、地平に向き合う日もあれば、地平が立ち上がり、君に向き合う日もある。</i>,Jaime Jones,126,,,,,,,,,,M14,レア,,,
Banisher Priest,1,{1}{W}{W},Banisher Priest,,W,,クリーチャー,人間 クレリック,"When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield. <i>(That creature returns under its owner's control.)</i>",2,2,,,,,,,,,,,,Banisher Priest,放逐する僧侶,"When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield. <i>(That creature returns under its owner's control.)</i>",放逐する僧侶が戦場に出たとき、対戦相手１人がコントロールするクリーチャー１体を対象とし、放逐する僧侶が戦場を離れるまでそれを追放する。（そのクリーチャーはオーナーのコントロール下で戦場に戻る。）,"<i>""Oathbreaker, I cast you out!""</i>",<i>「誓い破りめ、失せろ！」</i>,Willian Murai,7,,,,,,,,,,M14,アンコモン,,,
Barrage of Expendables,1,{R},Barrage of Expendables,,R,,エンチャント,,"{R}, Sacrifice a creature: Barrage of Expendables deals 1 damage to target creature or player.",,,,,,,,,,,,,,Barrage of Expendables,消耗品の弾幕,"{R}, Sacrifice a creature: Barrage of Expendables deals 1 damage to target creature or player.","{R}, クリーチャーを１体生け贄に捧げる：クリーチャー１体かプレイヤー１人を対象とする。消耗品の弾幕はそれに１点のダメージを与える。",<i>Goblin generals don't distinguish between troops and ammunition.</i>,<i>ゴブリンの将軍は兵隊と弾薬を区別しない。</i>,Trevor Claxton,127,,,,,,,,,,M14,アンコモン,,,
