カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Battle Sliver,1,{4}{R},Battle Sliver,,R,,クリーチャー,スリヴァー,Sliver creatures you control get +2/+0.,3,3,,,,,,,,,,,,Battle Sliver,戦闘スリヴァー,Sliver creatures you control get +2/+0.,あなたがコントロールするスリヴァー・クリーチャーは＋２/＋０の修整を受ける。,"<i>""One emitted a strange series of buzzing clicks and guttural commands, then clawed arms emerged from all of them. Is there no limit to their adaptations?""?Hastric, Thunian scout</i>",<i>「一体が奇妙なカチカチした音をしばらく鳴らして、しわがれた声で号令をかけたかと思うと、全員から爪の生えた腕が生えてきた。あいつらは無数に尖腕を生やせるのか？」――テューンの斥候、ハストリック</i>,Slawomir Maniak,128,,,,,,,,,,M14,アンコモン,,
Blessing,1,{W}{W},Blessing,,W,,エンチャント,オーラ,Enchant creature<br/>{W}: Enchanted creature gets +1/+1 until end of turn.,,,,,,,,,,,,,,Blessing,祝福,Enchant creature{W}: Enchanted creature gets +1/+1 until end of turn.,エンチャント（クリーチャー）{W}：エンチャントされているクリーチャーはターン終了時まで＋１/＋１の修整を受ける。,"<i>""Virtue can't survive without strength.""?Ardanna of the Angelic Council</i>",<i>「力なくして美徳は生き永らえません。」――天使議会のアルダナ</i>,Jason A. Engle,8,,,,,,,,,,M14,アンコモン,,
Blightcaster,1,{3}{B},Blightcaster,,B,,クリーチャー,人間 ウィザード,"Whenever you cast an enchantment spell, you may have target creature get -2/-2 until end of turn.",2,3,,,,,,,,,,,,Blightcaster,荒廃唱え,"Whenever you cast an enchantment spell, you may have target creature get -2/-2 until end of turn.",あなたがエンチャント呪文を１つ唱えるたび、クリーチャー１体を対象とする。あなたは「それはターン終了時まで－２/－２の修整を受ける。」を選んでもよい。,"<i>""Your flesh is unprepared for my gifts.""</i>",<i>「お前の肉体では私の贈り物を受け止められんな。」</i>,Winona Nelson,86,,,,,,,,,,M14,アンコモン,,
Blood Bairn,1,{2}{B},Blood Bairn,,B,,クリーチャー,吸血鬼,Sacrifice another creature: Blood Bairn gets +2/+2 until end of turn.,2,2,,,,,,,,,,,,Blood Bairn,血の幼子,Sacrifice another creature: Blood Bairn gets +2/+2 until end of turn.,他のクリーチャー１体を生け贄に捧げる：血の幼子は、ターン終了時まで＋２/＋２の修整を受ける。,<i>The travelers were warned to watch out for children on the road.</i>,<i>旅人は道行く先の子ども達に気を付けるよう忠告された。</i>,Ryan Yee,87,,,,,,,,,,M14,コモン,,
Blur Sliver,1,{2}{R},Blur Sliver,,R,,クリーチャー,スリヴァー,Sliver creatures you control have haste. <i>(They can attack and {Tap} as soon as they come under your control.)</i>,2,2,,,,,,,,,,,,Blur Sliver,収差スリヴァー,Sliver creatures you control have haste. <i>(They can attack and {Tap} as soon as they come under your control.)</i>,あなたがコントロールするスリヴァー・クリーチャーは速攻を持つ。（それらはあなたのコントロール下になってすぐに攻撃したり{Tap}したりできる。）,"<i>They move in a synchronized swarm, turning entire squads into heaps of bloody rags and bones in an instant.</i>",<i>彼らは統制のとれた集団行動をとり、瞬時に部隊全体を血にまみれた骨とボロ切れの山に変えてしまう。</i>,Daarken,129,,,,,,,,,,M14,コモン,,
Bogbrew Witch,1,{3}{B},Bogbrew Witch,,B,,クリーチャー,人間 ウィザード,"{2}, {Tap}: Search your library for a card named Festering Newt or Bubbling Cauldron, put it onto the battlefield tapped, then shuffle your library.",1,3,,,,,,,,,,,,Bogbrew Witch,泥沼煎じの魔女,"{2}, {Tap}: Search your library for a card named Festering Newt or Bubbling Cauldron, put it onto the battlefield tapped, then shuffle your library.","{2}, {Tap}：あなたのライブラリーからただれたイモリか泡立つ大釜という名前のカードを１枚探し、それをタップ状態で戦場に出し、その後あなたのライブラリーを切り直す。","<i>""The hardest thing is finding the right ingredients.""</i>",<i>「正しい材料を見つけるのが一番大変なのさ。」</i>,Eric Deschamps,88,,,,,,,,,,M14,レア,,
Bonescythe Sliver,1,{3}{W},Bonescythe Sliver,,W,,クリーチャー,スリヴァー,Sliver creatures you control have double strike. <i>(They deal both first-strike and regular combat damage.)</i>,2,2,,,,,,,,,,,,Bonescythe Sliver,骨鎌スリヴァー,Sliver creatures you control have double strike. <i>(They deal both first-strike and regular combat damage.)</i>,あなたがコントロールするスリヴァー・クリーチャーは二段攻撃を持つ。（それらは先制攻撃と通常の２回の戦闘ダメージを与える。）,"<i>""Their appendages are sharper than our swords and quicker than our bows.""?Hastric, Thunian scout</i>",<i>「やつらの尖腕は俺達の剣より鋭く、しかも俺達の弓より速い。」――テューンの斥候、ハストリック</i>,Trevor Claxton,9,,,,,,,,,,M14,レア,,
Bramblecrush,1,{2}{G}{G},Bramblecrush,,G,,ソーサリー,,Destroy target noncreature permanent.,,,,,,,,,,,,,,Bramblecrush,茨潰し,Destroy target noncreature permanent.,クリーチャーでないパーマネント１つを対象とし、それを破壊する。,<i>Nature abhors a lot of things.</i>,<i>自然は多くのものを忌み嫌う。</i>,Drew Baker,165,,,,,,,,,,M14,アンコモン,,
Brave the Elements,1,{W},Brave the Elements,,W,,インスタント,,"Choose a color. White creatures you control gain protection from the chosen color until end of turn. <i>(They can't be blocked, targeted, dealt damage, or enchanted by anything of that color.)</i>",,,,,,,,,,,,,,Brave the Elements,精霊への挑戦,"Choose a color. White creatures you control gain protection from the chosen color until end of turn. <i>(They can't be blocked, targeted, dealt damage, or enchanted by anything of that color.)</i>",色を１色選ぶ。あなたがコントロールする白のクリーチャーはターン終了時までプロテクション（その選ばれた色）を得る。（それらは選ばれた色のものによって、ブロックされず、対象にならず、ダメージを与えられず、エンチャントされない。）,,,Goran Josic,10,,,,,,,,,,M14,アンコモン,,
Briarpack Alpha,1,{3}{G},Briarpack Alpha,,G,,クリーチャー,狼,"Flash <i>(You may cast this spell any time you could cast an instant.)</i><br/>When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.",3,3,,,,,,,,,,,,Briarpack Alpha,茨群れの頭目,"Flash <i>(You may cast this spell any time you could cast an instant.)</i>When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.",瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）茨群れの頭目が戦場に出たとき、クリーチャー１体を対象とする。それはターン終了時まで＋２/＋２の修整を受ける。,"<i>""One of my greatest teachers.""?Garruk Wildspeaker</i>",<i>「自分にとって最高の師のひとりだ。」――野生語りのガラク</i>,Daarken,166,,,,,,,,,,M14,アンコモン,,
Brindle Boar,1,{2}{G},Brindle Boar,,G,,クリーチャー,猪,Sacrifice Brindle Boar: You gain 4 life.,2,2,,,,,,,,,,,,Brindle Boar,斑の猪,Sacrifice Brindle Boar: You gain 4 life.,斑の猪を生け贄に捧げる：あなたは４点のライフを得る。,"<i>""Tell the cooks to prepare the fires. Tonight we feast!""?Tolar Wolfbrother, Krosan tracker</i>",<i>「料理番に火をつけとけって伝えな。今夜はご馳走だぞ！」――クローサの足跡追い、狼兄弟のトラール</i>,Dave Allsop,167,,,,,,,,,,M14,コモン,,
Bubbling Cauldron,1,{2},Bubbling Cauldron,,Colorless,,アーティファクト,,"{1}, {Tap}, Sacrifice a creature: You gain 4 life.<br/>{1}, {Tap}, Sacrifice a creature named Festering Newt: Each opponent loses 4 life. You gain life equal to the life lost this way.",,,,,,,,,,,,,,Bubbling Cauldron,泡立つ大釜,"{1}, {Tap}, Sacrifice a creature: You gain 4 life.{1}, {Tap}, Sacrifice a creature named Festering Newt: Each opponent loses 4 life. You gain life equal to the life lost this way.","{1}, {Tap}, クリーチャーを１体生け贄に捧げる：あなたは４点のライフを得る。{1}, {Tap}, ただれたイモリという名前のクリーチャーを１体生け贄に捧げる：各対戦相手はそれぞれ４点のライフを失う。あなたはこれにより失われたライフに等しい点数のライフを得る。",,,Eric Deschamps,205,,,,,,,,,,M14,アンコモン,,
Burning Earth,1,{3}{R},Burning Earth,,R,,エンチャント,,"Whenever a player taps a nonbasic land for mana, Burning Earth deals 1 damage to that player.",,,,,,,,,,,,,,Burning Earth,燃え立つ大地,"Whenever a player taps a nonbasic land for mana, Burning Earth deals 1 damage to that player.",プレイヤー１人がマナを引き出す目的で基本でない土地を１つタップするたび、燃え立つ大地はそのプレイヤーに１点のダメージを与える。,"<i>""Your world is formed from the same power that wraps my burning hand around your throat.""?Shrazik, lavamancer</i>",<i>「貴様の世界は、その首にかけた俺の燃え盛る手と同じ力で出来ているんだ。」――溶岩使いスラジーク</i>,rk post,130,,,,,,,,,,M14,レア,,
Cancel,1,{1}{U}{U},Cancel,,U,,インスタント,,Counter target spell.,,,,,,,,,,,,,,Cancel,取り消し,Counter target spell.,呪文１つを対象とし、それを打ち消す。,,,David Palumbo,45,,,,,,,,,,M14,コモン,,
Canyon Minotaur,1,{3}{R},Canyon Minotaur,,R,,クリーチャー,ミノタウルス 戦士,,3,3,,,,,,,,,,,,Canyon Minotaur,峡谷のミノタウルス,,,"<i>""We'll scale these cliffs, traverse Brittle Bridge, and then fight our way down the volcanic slopes on the other side.""""Isn't the shortest route through the canyon?""""Yes.""""So shouldn't we?""""No.""</i>",<i>「ここの崖を登り、崩れ橋を渡って、逆側の火口坂を戦いながら下がっていくことになります。」「これは峡谷の一番の近道じゃなかったのか？」「間違いないです。」「それならそんな――」「駄目です。」</i>,Steve Prescott,131,,,,,,,,,,M14,コモン,,
Capashen Knight,1,{1}{W},Capashen Knight,,W,,クリーチャー,人間 騎士,First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br/>{1}{W}: Capashen Knight gets +1/+0 until end of turn.,1,1,,,,,,,,,,,,Capashen Knight,キャパシェンの騎士,First strike <i>(This creature deals combat damage before creatures without first strike.)</i>{1}{W}: Capashen Knight gets +1/+0 until end of turn.,先制攻撃（このクリーチャーは先制攻撃を持たないクリーチャーよりも先に戦闘ダメージを与える。）{1}{W}：キャパシェンの騎士はターン終了時まで＋１/＋０の修整を受ける。,<i>He protects Benalia as much with his reputation as with his force of arms.</i>,<i>彼は武力のみならず、その名声によってもベナリアを守護している。</i>,Jasper Sandner,11,,,,,,,,,,M14,コモン,,
Celestial Flare,1,{W}{W},Celestial Flare,,W,,インスタント,,Target player sacrifices an attacking or blocking creature.,,,,,,,,,,,,,,Celestial Flare,天界のほとばしり,Target player sacrifices an attacking or blocking creature.,プレイヤー１人を対象とする。そのプレイヤーは攻撃かブロックしているクリーチャーを１体生け贄に捧げる。,"<i>""You were defeated the moment you declared your aggression.""?Gideon Jura</i>",<i>「攻撃しようとしたとき、君は負けていたのさ。」――ギデオン・ジュラ</i>,Clint Cearley,12,,,,,,,,,,M14,コモン,,
"Chandra, Pyromaster",1,{2}{R}{R},"Chandra, Pyromaster",,R,,プレインズウォーカー,チャンドラ,"+1: Chandra, Pyromaster deals 1 damage to target player and 1 damage to up to one target creature that player controls. That creature can't block this turn.<br/>0: Exile the top card of your library. You may play it this turn.<br/>-7: Exile the top ten ca",,,4,,,,,,,,,,,"Chandra, Pyromaster",紅蓮の達人チャンドラ,"+1: Chandra, Pyromaster deals 1 damage to target player and 1 damage to up to one target creature that player controls. That creature can't block this turn.0: Exile the top card of your library. You may play it this turn.-7: Exile the top ten cards of you",＋１：プレイヤー１人を対象とし、そのプレイヤーがコントロールするクリーチャーを最大１体まで対象とする。紅蓮の達人チャンドラはそのプレイヤーに１点のダメージと、そのクリーチャーに１点のダメージを与える。このターン、そのクリーチャーではブロックできない。０：あなたのライブラリーの一番上のカードを追放する。このターン、あなたはそれをプレイしてもよい。－７：あなたのライブラリーの一番上から10枚のカードを追放する。これにより追放されたインスタント・カード１枚かソーサリー・カード１枚を選び、それを３回コピーする。あなたはそれらのコピーを、マナ・コストを支払うことなく唱えてもよい。,,,Winona Nelson,132,,,,,,,,,,M14,神話レア,,
