カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Alabaster Kirin,1,{3}{W},Alabaster Kirin,,W,,クリーチャー,麒麟,"Flying, vigilance",2,3,,,,,,,,,,,,Alabaster Kirin,雪花石の麒麟,"Flying, vigilance",飛行、警戒,"<i>The appearance of a kirin signifies the passing or arrival of an important figure. As word of sightings spread, all the khans took it to mean themselves. Only the shaman Chianul thought of Sarkhan Vol.</i>",<i>麒麟の出現は、重要な人物の通過または到来を告げる。その目撃の噂が広まるにつれ、すべてのカンたちはそれは自分のことだと受け止めた。それがサルカン・ヴォルであると考えたのは、シャーマンのチアヌルだけであった。</i>,Igor Kieryluk,4,,,,,,,,,,KTK,コモン,,
Alpine Grizzly,1,{2}{G},Alpine Grizzly,,G,,クリーチャー,熊,,4,2,,,,,,,,,,,,Alpine Grizzly,高山の灰色熊,,,"<i>The Temur welcome bears into the clan, fighting alongside them in battle. The relationship dates back to when they labored side by side under Sultai rule.</i>",<i>ティムールは熊を部族の一員として喜んで迎え、戦闘で共に並んで戦う。その絆は、かつてスゥルタイの支配下で共に並んで労役に従事していた時代に結ばれたと言われている。</i>,John Severin Brassell,127,,,,,,,,,,KTK,コモン,,
Altar of the Brood,1,{1},Altar of the Brood,,Colorless,,アーティファクト,,"Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.",,,,,,,,,,,,,,Altar of the Brood,群の祭壇,"Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.",他のパーマネントが１つあなたのコントロール下で戦場に出るたび、各対戦相手はそれぞれ自分のライブラリーの一番上のカードを自分の墓地に置く。,"<i>Supplicants offer flesh and silver, flowers and blood. The altar takes what it will, eyes gleaming with unspoken promises.</i>",<i>嘆願者は肉や銀や花や血を奉納する。祭壇は望むものを取り、その目は語られざる約束で輝きを放っている。</i>,Erica Yang,216,,,,,,,,,,KTK,レア,,
"Anafenza, the Foremost",1,{W}{B}{G},"Anafenza, the Foremost",,BGW,伝説の,クリーチャー,人間 兵士,"Whenever Anafenza, the Foremost attacks, put a +1/+1 counter on another target tapped creature you control.<br/>If a creature card would be put into an opponent's graveyard from anywhere, exile it instead.",4,4,,,,,,,,,,,,"Anafenza, the Foremost",先頭に立つもの、アナフェンザ,"Whenever Anafenza, the Foremost attacks, put a +1/+1 counter on another target tapped creature you control.<br/>If a creature card would be put into an opponent's graveyard from anywhere, exile it instead.",先頭に立つもの、アナフェンザが攻撃するたび、あなたがコントロールする他のタップ状態のクリーチャー１体を対象とする。それの上に＋１/＋１カウンターを１個置く。<br/>クリーチャー・カードがいずれかの領域から対戦相手の墓地に置かれるなら、代わりにそれを追放する。,"<i>Rarely at rest on the Amber Throne, Anafenza always leads the Abzan Houses to battle.</i>",<i>琥珀の玉座で鎮座していることが滅多にないアナフェンザは、常に戦いでアブザン家を率いている。</i>,James Ryman,163,,,,,,,,,,KTK,神話レア,,
Ankle Shanker,1,{2}{R}{W}{B},Ankle Shanker,,WBR,,クリーチャー,ゴブリン 狂戦士,"Haste<br/>Whenever Ankle Shanker attacks, creatures you control gain first strike and deathtouch until end of turn.",2,2,,,,,,,,,,,,Ankle Shanker,足首裂き,"Haste<br/>Whenever Ankle Shanker attacks, creatures you control gain first strike and deathtouch until end of turn.",速攻<br/>足首裂きが攻撃するたび、ターン終了時まで、あなたがコントロールするクリーチャーは先制攻撃と接死を得る。,<i>The stature of the fighter matters less than the depth of the cut.</i>,<i>戦士の体躯の大小は、与える傷の深さに比べればさしたる問題ではない。</i>,Zoltan Boros,164,,,,,,,,,,KTK,レア,,
Arc Lightning,1,{2}{R},Arc Lightning,,R,,ソーサリー,,"Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.",,,,,,,,,,,,,,Arc Lightning,弧状の稲妻,"Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.",クリーチャーやプレイヤーを、１つか２つか３つ対象とする。弧状の稲妻は、それらに３点のダメージをあなたの好きなように分割して与える。,<i>Lightning burns its own path.</i>,<i>稲妻は自分の通り道を焼きながら通る。</i>,Seb McKinnon,97,,,,,,,,,,KTK,アンコモン,,
Archers' Parapet,1,{1}{G},Archers' Parapet,,G,,クリーチャー,壁,"Defender<br/>{1}{B}, {Tap}: Each opponent loses 1 life.",0,5,,,,,,,,,,,,Archers' Parapet,射手の胸壁,"Defender<br/>{1}{B}, {Tap}: Each opponent loses 1 life.","防衛<br/>{1}{B}, {Tap}：各対戦相手はそれぞれ１点のライフを失う。","<i>Every shaft is graven with a name from a kin tree, calling upon the spirits of the ancestors to make it fly true.</i>",<i>矢が狙い通りに飛ぶよう先祖の霊に助力を願うため、矢軸の１本１本に族樹にある名前が彫り込まれている。</i>,Wayne Reynolds,128,,,,,,,,,,KTK,コモン,,
Armament Corps,1,{2}{W}{B}{G},Armament Corps,,BGW,,クリーチャー,人間 兵士,"When Armament Corps enters the battlefield, distribute two +1/+1 counters among one or two target creatures you control.",4,4,,,,,,,,,,,,Armament Corps,軍備部隊,"When Armament Corps enters the battlefield, distribute two +1/+1 counters among one or two target creatures you control.",軍備部隊が戦場に出たとき、あなたがコントロールするクリーチャーを１体か２体対象とする。それらに２個の＋１/＋１カウンターを好きなように割り振って置く。,<i>The Abzan avoid extended supply lines by incorporating weapons stores into their battle formations.</i>,<i>アブザンは武器庫をその戦闘陣形に組み込むことにより、補給線が伸びることを防ぐ。</i>,Steven Belledin,165,,,,,,,,,,KTK,アンコモン,,
Arrow Storm,1,{3}{R}{R},Arrow Storm,,R,,ソーサリー,,"Arrow Storm deals 4 damage to target creature or player.<br/>Raid ? If you attacked with a creature this turn, instead Arrow Storm deals 5 damage to that creature or player and the damage can't be prevented.",,,,,,,,,,,,,,Arrow Storm,矢の嵐,"Arrow Storm deals 4 damage to target creature or player.<br/>Raid ? If you attacked with a creature this turn, instead Arrow Storm deals 5 damage to that creature or player and the damage can't be prevented.",クリーチャー１体かプレイヤー１人を対象とする。矢の嵐はそれに４点のダメージを与える。<br/>強襲 ― このターンにあなたがクリーチャーで攻撃していたなら、代わりに矢の嵐はそのクリーチャーやプレイヤーに５点のダメージを与え、そのダメージは軽減されない。,"<i>First the thunder, then the rain.</i>",<i>最初は雷、次に雨。</i>,Steve Prescott,98,,,,,,,,,,KTK,コモン,,
Ashcloud Phoenix,1,{2}{R}{R},Ashcloud Phoenix,,R,,クリーチャー,フェニックス,"Flying<br/>When Ashcloud Phoenix dies, return it to the battlefield face down.<br/>Morph {4}{R}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br/>When Ashcloud Phoenix is turned face up, it deals 2 damage to each player.",4,1,,,,,,,,,,,,Ashcloud Phoenix,灰雲のフェニックス,"Flying<br/>When Ashcloud Phoenix dies, return it to the battlefield face down.<br/>Morph {4}{R}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br/>When Ashcloud Phoenix is turned face up, it deals 2 damage to each player.",飛行<br/>灰雲のフェニックスが死亡したとき、これを裏向きで戦場に戻す。<br/>変異{4}{R}{R}（あなたはこのカードを、{3}で２/２クリーチャーとして裏向きに唱えてもよい。これの変異コストで、これをいつでも表向きにしてよい。）<br/>灰雲のフェニックスが表向きになったとき、これは各プレイヤーにそれぞれ２点のダメージを与える。,,,Howard Lyon,99,,,,,,,,,,KTK,神話レア,,
Avalanche Tusker,1,{2}{G}{U}{R},Avalanche Tusker,,URG,,クリーチャー,象 戦士,"Whenever Avalanche Tusker attacks, target creature defending player controls blocks it this combat if able.",6,4,,,,,,,,,,,,Avalanche Tusker,なだれの大牙獣,"Whenever Avalanche Tusker attacks, target creature defending player controls blocks it this combat if able.",なだれの大牙獣が攻撃するたび、防御プレイヤーのコントロールするクリーチャー１体を対象とする。この戦闘で、それは可能ならこれをブロックする。,"<i>""Hold the high ground, then bring it to your enemy."" <br/></i><br/></i>?Surrak, khan of the Temur</i>",<i>「高地を維持し、そして敵に向かって一気に攻勢をかける。」 <br/></i><br/></i>――ティムールのカン、スーラク</i>,Matt Stewart,166,,,,,,,,,,KTK,レア,,
Awaken the Bear,1,{2}{G},Awaken the Bear,,G,,インスタント,,Target creature gets +3/+3 and gains trample until end of turn.,,,,,,,,,,,,,,Awaken the Bear,熊の覚醒,Target creature gets +3/+3 and gains trample until end of turn.,クリーチャー１体を対象とする。ターン終了時まで、それは＋３/＋３の修整を受けるとともにトランプルを得る。,"<i>When Temur warriors enter the battle trance known as ""awakening the bear,"" they lose all sense of enemy or friend, seeing only threats to the wilderness.</i>",<i>ティムールの戦士たちは「熊の覚醒」と呼ばれる戦闘高揚状態に陥ると、すべての敵味方の認識ができなくなり、代わりに荒野に対する脅威だけを認識するようになる。</i>,Svetlin Velinov,129,,,,,,,,,,KTK,コモン,,
Barrage of Boulders,1,{2}{R},Barrage of Boulders,,R,,ソーサリー,,"Barrage of Boulders deals 1 damage to each creature you don't control.<br/>Ferocious ? If you control a creature with power 4 or greater, creatures can't block this turn.",,,,,,,,,,,,,,Barrage of Boulders,石弾の弾幕,"Barrage of Boulders deals 1 damage to each creature you don't control.<br/>Ferocious ? If you control a creature with power 4 or greater, creatures can't block this turn.",石弾の弾幕は、あなたがコントロールしていない各クリーチャーにそれぞれ１点のダメージを与える。<br/>獰猛 ― あなたがパワーが４以上のクリーチャーをコントロールしているなら、このターン、クリーチャーではブロックできない。,<i>Crude tactics can be effective nonetheless.</i>,<i>洗練されていない戦略もそれなりに効果を発揮する。</i>,Zoltan Boros,100,,,,,,,,,,KTK,コモン,,
Bear's Companion,1,{2}{G}{U}{R},Bear's Companion,,URG,,クリーチャー,人間 戦士,"When Bear's Companion enters the battlefield, put a 4/4 green Bear creature token onto the battlefield.",2,2,,,,,,,,,,,,Bear's Companion,熊の仲間,"When Bear's Companion enters the battlefield, put a 4/4 green Bear creature token onto the battlefield.",熊の仲間が戦場に出たとき、緑の４/４の熊・クリーチャー・トークンを１体戦場に出す。,"<i>""The Sultai came hunting for a bear hide. Now I have a belt of naga skin, and my friend has a full belly.""</i>",<i>「スゥルタイは熊の毛皮を求めて狩猟に来た。おかげで私はナーガの皮で作ったベルトを得て、我が友は満腹となった。」</i>,Winona Nelson,167,,,,,,,,,,KTK,アンコモン,,
Become Immense,1,{5}{G},Become Immense,,G,,インスタント,,Delve <i>(Each card you exile from your graveyard while casting this spell pays for {1}.)</i><br/>Target creature gets +6/+6 until end of turn.,,,,,,,,,,,,,,Become Immense,強大化,Delve <i>(Each card you exile from your graveyard while casting this spell pays for {1}.)</i><br/>Target creature gets +6/+6 until end of turn.,探査（この呪文を唱える段階であなたがあなたの墓地から追放した各カードは、{1}を支払う。）ｆ<br/>クリーチャー１体を対象とする。ターン終了時まで、それは＋６/＋６の修整を受ける。,,,Jaime Jones,130,,,,,,,,,,KTK,アンコモン,,
Bellowing Saddlebrute,1,{3}{B},Bellowing Saddlebrute,,B,,クリーチャー,オーク 戦士,"Raid ? When Bellowing Saddlebrute enters the battlefield, you lose 4 life unless you attacked with a creature this turn.",4,5,,,,,,,,,,,,Bellowing Saddlebrute,吠える鞍暴れ,"Raid ? When Bellowing Saddlebrute enters the battlefield, you lose 4 life unless you attacked with a creature this turn.",強襲 ― 吠える鞍暴れが戦場に出たとき、このターンにあなたがクリーチャーで攻撃していないかぎり、あなたは４点のライフを失う。,,,Torstein Nordstrand,64,,,,,,,,,,KTK,アンコモン,,
Bitter Revelation,1,{3}{B},Bitter Revelation,,B,,ソーサリー,,Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.,,,,,,,,,,,,,,Bitter Revelation,苦々しい天啓,Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.,あなたのライブラリーの一番上から４枚のカードを見る。そのうち２枚をあなたの手札に加え、残りをあなたの墓地に置く。あなたは２点のライフを失う。,"<i>""Here you lie then, Ugin. The corpses of worlds will join you in the tomb."" <br/></i><br/></i>?Sorin Markov</i>",<i>「ここに眠るか、ウギンよ。じきに世界の遺体がお前とともにこの墓に葬られることになるだろう。」 <br/></i><br/></i>――ソリン・マルコフ</i>,Viktor Titov,65,,,,,,,,,,KTK,コモン,,
Blinding Spray,1,{4}{U},Blinding Spray,,U,,インスタント,,Creatures your opponents control get -4/-0 until end of turn.<br/>Draw a card.,,,,,,,,,,,,,,Blinding Spray,目潰しのしぶき,Creatures your opponents control get -4/-0 until end of turn.<br/>Draw a card.,ターン終了時まで、対戦相手がコントロールするクリーチャーは－４/－０の修整を受ける。<br/>カードを１枚引く。,"<i>""The stronger our enemies seem, the more vulnerable they are."" <br/></i><br/></i>?Sultai secret</i>",<i>「敵が強そうに見えれば見えるほど、その実体は脆弱である。」 <br/></i><br/></i>――スルタイの秘話</i>,Wayne Reynolds,32,,,,,,,,,,KTK,アンコモン,,
Bloodfell Caves,1,,Bloodfell Caves,,Colorless,,土地,,"Bloodfell Caves enters the battlefield tapped.<br/>When Bloodfell Caves enters the battlefield, you gain 1 life.<br/>{Tap}: Add {B} or {R} to your mana pool.",,,,,,,,,,,,,,Bloodfell Caves,血溜まりの洞窟,"Bloodfell Caves enters the battlefield tapped.<br/>When Bloodfell Caves enters the battlefield, you gain 1 life.<br/>{Tap}: Add {B} or {R} to your mana pool.",血溜まりの洞窟はタップ状態で戦場に出る。<br/>血溜まりの洞窟が戦場に出たとき、あなたは１点のライフを得る。<br/>{Tap}：あなたのマナ・プールに{B}か{R}を加える。,,,Adam Paquette,229,,,,,,,,,,KTK,コモン,,
Bloodfire Expert,1,{2}{R},Bloodfire Expert,,R,,クリーチャー,イフリート モンク,"Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i>",3,1,,,,,,,,,,,,Bloodfire Expert,沸血の熟練者,"Prowess <i>(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)</i>",果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは＋１/＋１の修整を受ける。）,<i>Some efreet abandon their homes in the volcanic Fire Rim to embrace the Jeskai Way and discipline their innate flames.</i>,<i>イフリートのなかには、ジェスカイ道を受け入れて体内にある炎を鍛えるために、火山帯である炎の縁の自分たちの住居を放棄する者もいる。</i>,Raymond Swanland,101,,,,,,,,,,KTK,コモン,,
Bloodfire Mentor,1,{2}{R},Bloodfire Mentor,,R,,クリーチャー,イフリート シャーマン,"{2}{U}, {Tap}: Draw a card, then discard a card.",0,5,,,,,,,,,,,,Bloodfire Mentor,沸血の導師,"{2}{U}, {Tap}: Draw a card, then discard a card.","{2}{U}, {Tap}：カードを１枚引き、その後カードを１枚捨てる。","<i>The adept underwent months of preparation to withstand pain, until he was finally ready to receive the efreet master's teachings.</i>",<i>熟練者は何ヶ月もかけて痛みに耐えるための準備を行い、ついにイフリートの達人による教えを受ける用意が整った。</i>,Chase Stone,102,,,,,,,,,,KTK,コモン,,
Bloodsoaked Champion,1,{B},Bloodsoaked Champion,,B,,クリーチャー,人間 戦士,Bloodsoaked Champion can't block.<br/>Raid ? {1}{B}: Return Bloodsoaked Champion from your graveyard to the battlefield. Activate this ability only if you attacked with a creature this turn.,2,1,,,,,,,,,,,,Bloodsoaked Champion,血に染まりし勇者,Bloodsoaked Champion can't block.<br/>Raid ? {1}{B}: Return Bloodsoaked Champion from your graveyard to the battlefield. Activate this ability only if you attacked with a creature this turn.,血に染まりし勇者ではブロックできない。<br/>強襲 ― {1}{B}：あなたの墓地にある血に染まりし勇者を戦場に戻す。この能力は、このターンにあなたがクリーチャーで攻撃していた場合にのみ起動できる。,"<i>""Death is merely another foe the Mardu will overcome.""</i>",<i>「死とはマルドゥがいずれ征服する敵の１つに過ぎん。」</i>,Aaron Miller,66,,,,,,,,,,KTK,レア,,
Bloodstained Mire,1,,Bloodstained Mire,,Colorless,,土地,,"{Tap}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.",,,,,,,,,,,,,,Bloodstained Mire,血染めのぬかるみ,"{Tap}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.","{Tap}, ライフを１点支払う, 血染めのぬかるみを生け贄に捧げる：あなたのライブラリーから沼・カードか山・カードを１枚探し、それを戦場に出す。その後あなたのライブラリーを切り直す。","<i>Where dragons once triumphed, their bones now molder.</i>",<i>かつて龍たちが勝利した場所には、今では彼らの苔生した骨だけが残っている。</i>,Daarken,230,,,,,,,,,,KTK,レア,,
