カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Akroan Conscriptor,1,{4}{R},Akroan Conscriptor,,R,,クリーチャー,人間 シャーマン,"Heroic — Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.",3,2,,,,,,,,,,,,Akroan Conscriptor,アクロスの徴兵人,"Heroic — Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.",英雄的 ― あなたがアクロスの徴兵人を対象とする呪文を１つ唱えるたび、他のクリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。そのクリーチャーをアンタップする。それはターン終了時まで速攻を得る。,"<i>""The time to serve is now.""</i>",<i>「務めを果たすべき時は、今しかない。」</i>,James Ryman,87,,,,,,,,,,BNG,アンコモン,,
Akroan Crusader,1,{R},Akroan Crusader,,R,,クリーチャー,人間 兵士,"Heroic — Whenever you cast a spell that targets Akroan Crusader, put a 1/1 red Soldier creature token with haste onto the battlefield.",1,1,,,,,,,,,,,,Akroan Crusader,アクロスの十字軍,"Heroic — Whenever you cast a spell that targets Akroan Crusader, put a 1/1 red Soldier creature token with haste onto the battlefield.",英雄的 ― あなたがアクロスの十字軍を対象とする呪文を１つ唱えるたび、速攻を持つ赤の１/１の兵士・クリーチャー・トークンを１体戦場に出す。,<i>An Akroan soldier's worth is measured by the number of swords raised by his battle cry.</i>,<i>アクロスの兵士の価値は、その者の鬨の声に呼応して上がった剣の本数で決められる。</i>,Johann Bodin,111,,,,,,,,,,THS,コモン,,
Akroan Hoplite,1,{R}{W},Akroan Hoplite,,WR,,クリーチャー,人間 兵士,"Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.",1,2,,,,,,,,,,,,Akroan Hoplite,アクロスの重装歩兵,"Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.",アクロスの重装歩兵が攻撃するたび、これはターン終了時まで＋Ｘ/＋０の修整を受ける。Ｘはあなたがコントロールする攻撃クリーチャーの総数に等しい。,"<i>""Fair fight? How could it be a fair fight? We're Akroans. They're not.""</i>",<i>「正々堂々と戦うだと？正々堂々な戦いもなにもあるか。我々はアクロス人で、奴らは違う。」</i>,Igor Kieryluk,185,,,,,,,,,,THS,アンコモン,,
Akroan Horse,1,{4},Akroan Horse,,Colorless,,アーティファクト クリーチャー,馬,"Defender<br/>When Akroan Horse enters the battlefield, an opponent gains control of it.<br/>At the beginning of your upkeep, each opponent puts a 1/1 white Soldier creature token onto the battlefield.",0,4,,,,,,,,,,,,Akroan Horse,アクロスの木馬,"Defender<br/>When Akroan Horse enters the battlefield, an opponent gains control of it.<br/>At the beginning of your upkeep, each opponent puts a 1/1 white Soldier creature token onto the battlefield.",防衛<br/>アクロスの木馬が戦場に出たとき、対戦相手１人はこれのコントロールを得る。<br/>あなたのアップキープの開始時に、各対戦相手はそれぞれ白の１/１の兵士・クリーチャー・トークンを１体戦場に出す。,,,Seb McKinnon,210,,,,,,,,,,THS,レア,,
Akroan Line Breaker,1,{2}{R},Akroan Line Breaker,,R,,クリーチャー,人間 戦士,"Heroic — Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn.",2,1,,,,,,,,,,,,Akroan Line Breaker,アクロスの戦線砕き,"Heroic — Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn.",英雄的 ― あなたがアクロスの戦線砕きを対象とする呪文を１つ唱えるたび、アクロスの戦線砕きはターン終了時まで＋２/＋０の修整を受けるとともに威嚇を得る。,"<i>The enemies' shields are the first to shatter, and their battle line is never far behind.</i>",<i>最初に砕けるのは敵の盾であり、時置かずして戦線も崩壊する。</i>,Marco Nelor,88,,,,,,,,,,JOU,アンコモン,,
Akroan Mastiff,1,{3}{W},Akroan Mastiff,,W,,クリーチャー,猟犬,"{W}, {Tap}: Tap target creature.",2,2,,,,,,,,,,,,Akroan Mastiff,アクロスの猛犬,"{W}, {Tap}: Tap target creature.","{W}, {Tap}：クリーチャー１体を対象とし、それをタップする。","<i>Even when many of the soldiers who guarded Akros were called away, its safety was never in doubt.</i>",<i>アクロスを守る兵士の多くが招集により不在となっても、その安全には一抹の不安もない。</i>,Zoltan Boros,3,,,,,,,,,,JOU,コモン,,
Akroan Phalanx,1,{3}{W},Akroan Phalanx,,W,,クリーチャー,人間 兵士,Vigilance<br/>{2}{R}: Creatures you control get +1/+0 until end of turn.,3,3,,,,,,,,,,,,Akroan Phalanx,アクロスの密集軍,Vigilance<br/>{2}{R}: Creatures you control get +1/+0 until end of turn.,警戒<br/>{2}{R}：あなたがコントロールするクリーチャーは、ターン終了時まで＋１/＋０の修整を受ける。,"<i>Shields up, spears out, heels set, hearts firm.</i>",<i>盾をあげろ、槍を出せ、踵に力を込めろ、心を強く持て。</i>,Steve Prescott,2,,,,,,,,,,BNG,アンコモン,,
Akroan Skyguard,1,{1}{W},Akroan Skyguard,,W,,クリーチャー,人間 兵士,"Flying<br/>Heroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.",1,1,,,,,,,,,,,,Akroan Skyguard,アクロスの空護衛,"Flying<br/>Heroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.",飛行<br/>英雄的 ― あなたがアクロスの空護衛を対象とする呪文を１つ唱えるたび、アクロスの空護衛の上に＋１/＋１カウンターを１個置く。,"<i>""Trust me. When you have earned a god's favor, you'll know.""</i>",<i>「まあ見ていたまえ。神の寵愛を受けたら、すぐに分かる。」</i>,Mark Winters,3,,,,,,,,,,BNG,コモン,,
Anax and Cymede,1,{1}{R}{W},Anax and Cymede,,WR,伝説の,クリーチャー,人間 兵士,"First strike, vigilance<br/>Heroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",3,2,,,,,,,,,,,,Anax and Cymede,アナックスとサイミーディ,"First strike, vigilanceHeroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",先制攻撃、警戒英雄的 ― あなたがアナックスとサイミーディを対象とする呪文を１つ唱えるたび、あなたがコントロールするクリーチャーは、ターン終了時まで＋１/＋１の修整を受けるとともにトランプルを得る。,<i>Akros's greatest heroes are also its royalty.</i>,<i>アクロスの最も偉大な英雄たちは、その王族でもある。</i>,Willian Murai,11,,,,,,,,,,DDL,レア,,
Anax and Cymede,1,{1}{R}{W},Anax and Cymede,,WR,伝説の,クリーチャー,人間 兵士,"First strike, vigilance<br/>Heroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",3,2,,,,,,,,,,,,Anax and Cymede,アナックスとサイミーディ,"First strike, vigilance<br/>Heroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",先制攻撃、警戒<br/>英雄的 ― あなたがアナックスとサイミーディを対象とする呪文を１つ唱えるたび、あなたがコントロールするクリーチャーは、ターン終了時まで＋１/＋１の修整を受けるとともにトランプルを得る。,<i>Akros's greatest heroes are also its royalty.</i>,<i>アクロスの最も偉大な英雄たちは、その王族でもある。</i>,Willian Murai,186,,,,,,,,,,THS,レア,,
Anger of the Gods,1,{1}{R}{R},Anger of the Gods,,R,,ソーサリー,,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.",,,,,,,,,,,,,,Anger of the Gods,神々の憤怒,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.",神々の憤怒は各クリーチャーにそれぞれ３点のダメージを与える。このターン、これによりダメージを与えられたクリーチャーが死亡する場合、代わりにそれを追放する。,<i>There was no reason to pray. This was already an act of the gods.</i>,<i>祈る必要はどこにもなかった。神々の裁定はすでに下っていた。</i>,Noah Bradley,112,,,,,,,,,,THS,レア,,
Annul,1,{U},Annul,,U,,インスタント,,Counter target artifact or enchantment spell.,,,,,,,,,,,,,,Annul,,Counter target artifact or enchantment spell.,,<i>The most effective way to destroy a spell is to ensure it was never cast in the first place.</i>,,Greg Simanson,59,,,,,,,,,,USG,コモン,,
Annul,1,{U},Annul,,U,,インスタント,,Counter target artifact or enchantment spell.,,,,,,,,,,,,,,Annul,無効,Counter target artifact or enchantment spell.,アーティファクト呪文１つかエンチャント呪文１つを対象とし、それを打ち消す。,"<i>""Murder of the living is tragic, but murder of the idea is unforgivable.""</i><br/></i>—Janus, speaker of the synod</i>",<i>生命の抹消は悲劇だが、発想の抹消は許し難い。</i><br/></i>―― 教議会の代弁者ジェイナス</i>,Brian Snoddy,29,,,,,,,,,,MRD,コモン,,
Annul,1,{U},Annul,,U,,インスタント,,Counter target artifact or enchantment spell.,,,,,,,,,,,,,,Annul,無効,Counter target artifact or enchantment spell.,アーティファクト呪文１つかエンチャント呪文１つを対象とし、それを打ち消す。,"<i>""Why pray to the gods, who feed on your worship? Dissolve your illusions and see the true nature of things."" <br/></i><br/></i>—Xenagos, the Reveler</i>","<i>「お前の信仰を貪る神々に祈る必要がどこにあるんだい？幻影の先にある物事の本質を見極めなよ。」 <br/></i><br/></i>――歓楽者ゼナゴス</i>",Christine Choi,38,,,,,,,,,,THS,コモン,,
"Anthousa, Setessan Hero",1,{3}{G}{G},"Anthousa, Setessan Hero",,G,伝説の,クリーチャー,人間 戦士,"Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.",4,5,,,,,,,,,,,,"Anthousa, Setessan Hero",セテッサの英雄、アンソーザ,"Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.",英雄的 ― あなたがセテッサの英雄、アンソーザを対象とする呪文を１つ唱えるたび、あなたがコントロールする土地を最大３つまで対象とする。それらはそれぞれターン終了時まで２/２の戦士・クリーチャーになる。それらは土地でもある。,"<i>The warriors she leads can rarely keep pace with her, and neither can the tales.</i>",<i>彼女が率いた戦士たちは、彼女の歩みに追いつくので精一杯だった。そして彼女の逸話もまた然りである。</i>,Howard Lyon,149,,,,,,,,,,THS,レア,,
Anvilwrought Raptor,1,{4},Anvilwrought Raptor,,Colorless,,アーティファクト クリーチャー,鳥,"Flying, first strike",2,1,,,,,,,,,,,,Anvilwrought Raptor,金床鋳込みの猛禽,"Flying, first strike",飛行、先制攻撃,"<i>""I know its lightness, for I have seen it fly. I know its weight, for I have seen it strike."" <br/></i><br/></i>—Brigone, soldier of Meletis</i>","<i>「私はそれが空を飛ぶのを見たことがあり、故にその軽さを知っている。私はそれが攻撃する様をも見ていて、故にその重さも知っている。」 <br/></i><br/></i>――メレティスの兵士、ブリゴニー</i>",James Zapata,211,,,,,,,,,,THS,アンコモン,,
Aqueous Form,1,{U},Aqueous Form,,U,,エンチャント,オーラ,"Enchant creature<br/>Enchanted creature can't be blocked.<br/>Whenever enchanted creature attacks, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>",,,,,,,,,,,,,,Aqueous Form,液態化,"Enchant creature<br/>Enchanted creature can't be blocked.<br/>Whenever enchanted creature attacks, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>",エンチャント（クリーチャー）<br/>エンチャントされているクリーチャーはブロックされない。<br/>エンチャントされているクリーチャーが攻撃するたび、占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）,,,Slawomir Maniak,39,,,,,,,,,,THS,コモン,,
Arbiter of the Ideal,1,{4}{U}{U},Arbiter of the Ideal,,U,,クリーチャー,スフィンクス,"Flying<br/>Inspired — Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.",4,5,,,,,,,,,,,,Arbiter of the Ideal,理想の調停者,"Flying<br/>Inspired — Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.",飛行<br/>神啓 ― 理想の調停者がアンタップ状態になるたび、あなたのライブラリーの一番上のカードを公開する。それがアーティファクト・カードかクリーチャー・カードか土地カードであるなら、あなたはそれを顕現カウンターが１個置かれた状態で戦場に出してもよい。そのパーマネントは、他のタイプに加えてエンチャントでもある。,,,Svetlin Velinov,31,,,,,,,,,,BNG,レア,,
Arbor Colossus,1,{2}{G}{G}{G},Arbor Colossus,,G,,クリーチャー,巨人,"Reach<br/>{3}{G}{G}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br/>When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls.",6,6,,,,,,,,,,,,Arbor Colossus,高木の巨人,"Reach<br/>{3}{G}{G}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br/>When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls.",到達<br/>{3}{G}{G}{G}：怪物化３を行う。（このクリーチャーが怪物的でない場合、これの上に＋１/＋１カウンターを３個置く。これは怪物的になる。）<br/>高木の巨人が怪物的になったとき、対戦相手がコントロールする飛行を持つクリーチャー１体を対象とし、それを破壊する。,,,Jaime Jones,150,,,,,,,,,,THS,レア,,
Archetype of Aggression,1,{1}{R}{R},Archetype of Aggression,,R,,エンチャント クリーチャー,人間 戦士,Creatures you control have trample.<br/>Creatures your opponents control lose trample and can't have or gain trample.,3,2,,,,,,,,,,,,Archetype of Aggression,攻撃の元型,Creatures you control have trample.<br/>Creatures your opponents control lose trample and can't have or gain trample.,あなたがコントロールするクリーチャーはトランプルを持つ。<br/>あなたの対戦相手がコントロールするクリーチャーはトランプルを失うとともに、トランプルを得ることも持つこともできない。,"<i>""Did Purphoros bless Maikal because of his rage? Or did Maikal's rage blossom after he'd been blessed? Only the gods know."" <br/></i><br/></i>—Eocles, oracle of Purphoros</i>","<i>「パーフォロス様は、お怒りのあまりメイカルを祝福したのだろうか？　または、祝福を受けた後にメイカルの怒りが発露したのだろうか？　これぞまさに、神のみぞ知るということだな。」 <br/></i><br/></i>――パーフォロスの神託者、エオクレス</i>",Mathias Kollros,88,,,,,,,,,,BNG,アンコモン,,
Archetype of Courage,1,{1}{W}{W},Archetype of Courage,,W,,エンチャント クリーチャー,人間 兵士,Creatures you control have first strike.<br/>Creatures your opponents control lose first strike and can't have or gain first strike.,2,2,,,,,,,,,,,,Archetype of Courage,勇気の元型,Creatures you control have first strike.<br/>Creatures your opponents control lose first strike and can't have or gain first strike.,あなたがコントロールするクリーチャーは先制攻撃を持つ。<br/>あなたの対戦相手がコントロールするクリーチャーは先制攻撃を失うとともに、先制攻撃を得ることも持つこともできない。,"<i>""It has been my experience that soldiers most fervently follow generals who lead by example."" <br/></i><br/></i>—Elspeth</i>","<i>「私のこれまでの経験から言えば、兵は自ら模範を示して指揮する将軍に最も熱烈につき従うようになるものです。」 <br/></i><br/></i>――エルズペス</i>",Willian Murai,4,,,,,,,,,,BNG,アンコモン,,
Archetype of Endurance,1,{6}{G}{G},Archetype of Endurance,,G,,エンチャント クリーチャー,猪,Creatures you control have hexproof.<br/>Creatures your opponents control lose hexproof and can't have or gain hexproof.,6,5,,,,,,,,,,,,Archetype of Endurance,忍耐の元型,Creatures you control have hexproof.<br/>Creatures your opponents control lose hexproof and can't have or gain hexproof.,あなたがコントロールするクリーチャーは呪禁を持つ。<br/>あなたの対戦相手がコントロールするクリーチャーは呪禁を失うとともに、呪禁を得ることも持つこともできない。,"<i>Despite its fearsome stature, it is as elusive as a shadow, circling round to stalk those who presume to hunt it.</i>",<i>その恐ろしげな風貌に似合わず、それは影のように捉えどころがなく、それを狩ろうと狙うものの周辺を徘徊しながら追跡することを好む。</i>,Slawomir Maniak,116,,,,,,,,,,BNG,アンコモン,,
Archetype of Finality,1,{4}{B}{B},Archetype of Finality,,B,,エンチャント クリーチャー,ゴルゴン,Creatures you control have deathtouch.<br/>Creatures your opponents control lose deathtouch and can't have or gain deathtouch.,2,3,,,,,,,,,,,,Archetype of Finality,決断の元型,Creatures you control have deathtouch.<br/>Creatures your opponents control lose deathtouch and can't have or gain deathtouch.,あなたがコントロールするクリーチャーは接死を持つ。<br/>あなたの対戦相手がコントロールするクリーチャーは接死を失うとともに、接死を得ることも持つこともできない。,"<i>She sees mortals not as they wish to be, but as what they will become.</i>",<i>彼女は定命の者を、その者が願う姿ではなく、いずれなる姿で見ている。</i>,Chris Rahn,58,,,,,,,,,,BNG,アンコモン,,
